Source,TestCaseID,File,Layer,Component,PriorityScore,Est,Owner,Jira/PR/SlackRef
PR,REG-005,PR-2025.md,BE,core,7,M,,PR-2025
PR,REG-006,PR-2025.md,BE,core,7,M,,PR-2025
PR,NEG-007,PR-2025.md,BE,core,7,M,,PR-2025
PR,NEG-008,PR-2025.md,BE,core,7,M,,PR-2025
PR,NEG-009,PR-2025.md,BE,core,7,M,,PR-2025
PR,INT-010,PR-2025.md,BE,core,7,M,,PR-2025
PR,INT-011,PR-2025.md,BE,core,7,M,,PR-2025
PR,INT-012,PR-2025.md,BE,core,7,M,,PR-2025
PR,API-013,PR-2025.md,API,core,7,M,,PR-2025
PR,API-014,PR-2025.md,API,core,7,M,,PR-2025
PR,API-015,PR-2025.md,API,core,7,M,,PR-2025
PR,PER-016,PR-2025.md,BE,core,7,M,,PR-2025
PR,PER-017,PR-2025.md,BE,core,7,M,,PR-2025
PR,PER-018,PR-2025.md,BE,core,7,M,,PR-2025
PR,REL-022,PR-2025.md,BE,core,7,M,,PR-2025
PR,REL-023,PR-2025.md,BE,core,7,M,,PR-2025
PR,REL-024,PR-2025.md,BE,core,7,M,,PR-2025
PR,E2E-025,PR-2025.md,BE,core,7,M,,PR-2025
PR,E2E-026,PR-2025.md,BE,core,7,M,,PR-2025
PR,E2E-027,PR-2025.md,BE,core,7,M,,PR-2025
PR,COM-028,PR-2025.md,BE,core,7,M,,PR-2025
PR,COM-029,PR-2025.md,BE,core,7,M,,PR-2025
PR,COM-030,PR-2025.md,BE,core,7,M,,PR-2025
PR,ERR-031,PR-2025.md,BE,core,7,M,,PR-2025
PR,ERR-032,PR-2025.md,BE,core,7,M,,PR-2025
PR,ERR-033,PR-2025.md,BE,core,7,M,,PR-2025
PR,PR-IO-141368,PR-IO-141368.md,BE,core,7,M,,
Jira,IO-136500-testcases_v2,IO-136500-testcases_v2.md,BE,core,6,M,,IO-136500
Jira,IO-136500-testcases_v4,IO-136500-testcases_v4.md,BE,core,6,M,,IO-136500
Jira,IO-139525-testcases,IO-139525-testcases.md,BE,core,6,M,,IO-139525
PR,PR-14192,PR-14192.md,BE,core,6,M,,PR-14192
PR,PR-143929,PR-143929.md,BE,core,6,M,,PR-143929
PR,PR-2025,PR-2025.md,BE,core,6,M,,PR-2025
Slack,DEDUP_REPORT,DEDUP_REPORT.md,API,core,6,M,,
Jira,IO-136500-testcases,IO-136500-testcases.md,BE,core,5,S,,IO-136500
PR,PR-IO-136500,PR-IO-136500.md,BE,core,5,S,,
Jira,IO-136500-testcases_v5,IO-136500-testcases_v5.md,UI,core,4,S,,IO-136500
Jira,IO-141368-testcases_v5,IO-141368-testcases_v5.md,UI,core,4,S,,IO-141368
Slack,SLK-gen-040900350093,SLK-gen-040900350093.md,UI,core,4,S,,gen-040900350093
Slack,E2E-UI-001,SLK-gen-040900350093.md,UI,core,4,S,,gen-040900350093
Slack,E2E-UI-002,SLK-gen-040900350093.md,UI,core,4,S,,gen-040900350093
Slack,E2E-UI-003,SLK-gen-040900350093.md,UI,core,4,S,,gen-040900350093
Slack,A11Y-UI-004,SLK-gen-040900350093.md,UI,core,4,S,,gen-040900350093
Slack,SLK-gen-0c457e0a44ad,SLK-gen-0c457e0a44ad.md,UI,core,4,S,,gen-0c457e0a44ad
Slack,E2E-UI-001,SLK-gen-0c457e0a44ad.md,UI,core,4,S,,gen-0c457e0a44ad
Slack,E2E-UI-002,SLK-gen-0c457e0a44ad.md,UI,core,4,S,,gen-0c457e0a44ad
Slack,E2E-UI-003,SLK-gen-0c457e0a44ad.md,UI,core,4,S,,gen-0c457e0a44ad
Slack,A11Y-UI-004,SLK-gen-0c457e0a44ad.md,UI,core,4,S,,gen-0c457e0a44ad
Slack,SLK-gen-155bc4f14fd4,SLK-gen-155bc4f14fd4.md,UI,core,4,S,,gen-155bc4f14fd4
Slack,E2E-UI-001,SLK-gen-155bc4f14fd4.md,UI,core,4,S,,gen-155bc4f14fd4
Slack,E2E-UI-002,SLK-gen-155bc4f14fd4.md,UI,core,4,S,,gen-155bc4f14fd4
Slack,E2E-UI-003,SLK-gen-155bc4f14fd4.md,UI,core,4,S,,gen-155bc4f14fd4
Slack,A11Y-UI-004,SLK-gen-155bc4f14fd4.md,UI,core,4,S,,gen-155bc4f14fd4
Slack,SLK-gen-15af3eb1abf2,SLK-gen-15af3eb1abf2.md,UI,core,4,S,,gen-15af3eb1abf2
Slack,E2E-UI-001,SLK-gen-15af3eb1abf2.md,UI,core,4,S,,gen-15af3eb1abf2
Slack,E2E-UI-002,SLK-gen-15af3eb1abf2.md,UI,core,4,S,,gen-15af3eb1abf2
Slack,E2E-UI-003,SLK-gen-15af3eb1abf2.md,UI,core,4,S,,gen-15af3eb1abf2
Slack,A11Y-UI-004,SLK-gen-15af3eb1abf2.md,UI,core,4,S,,gen-15af3eb1abf2
Slack,SLK-gen-17eb6e3cec6f,SLK-gen-17eb6e3cec6f.md,UI,core,4,S,,gen-17eb6e3cec6f
Slack,E2E-UI-001,SLK-gen-17eb6e3cec6f.md,UI,core,4,S,,gen-17eb6e3cec6f
Slack,E2E-UI-002,SLK-gen-17eb6e3cec6f.md,UI,core,4,S,,gen-17eb6e3cec6f
Slack,E2E-UI-003,SLK-gen-17eb6e3cec6f.md,UI,core,4,S,,gen-17eb6e3cec6f
Slack,A11Y-UI-004,SLK-gen-17eb6e3cec6f.md,UI,core,4,S,,gen-17eb6e3cec6f
Slack,SLK-gen-24dba6c37962,SLK-gen-24dba6c37962.md,UI,core,4,S,,gen-24dba6c37962
Slack,E2E-UI-001,SLK-gen-24dba6c37962.md,UI,core,4,S,,gen-24dba6c37962
Slack,E2E-UI-002,SLK-gen-24dba6c37962.md,UI,core,4,S,,gen-24dba6c37962
Slack,E2E-UI-003,SLK-gen-24dba6c37962.md,UI,core,4,S,,gen-24dba6c37962
Slack,A11Y-UI-004,SLK-gen-24dba6c37962.md,UI,core,4,S,,gen-24dba6c37962
Slack,SLK-gen-349b233e3996,SLK-gen-349b233e3996.md,UI,core,4,S,,gen-349b233e3996
Slack,E2E-UI-001,SLK-gen-349b233e3996.md,UI,core,4,S,,gen-349b233e3996
Slack,E2E-UI-002,SLK-gen-349b233e3996.md,UI,core,4,S,,gen-349b233e3996
Slack,E2E-UI-003,SLK-gen-349b233e3996.md,UI,core,4,S,,gen-349b233e3996
Slack,A11Y-UI-004,SLK-gen-349b233e3996.md,UI,core,4,S,,gen-349b233e3996
Slack,SLK-gen-582918b0dadf,SLK-gen-582918b0dadf.md,UI,core,4,S,,gen-582918b0dadf
Slack,E2E-UI-001,SLK-gen-582918b0dadf.md,UI,core,4,S,,gen-582918b0dadf
Slack,E2E-UI-002,SLK-gen-582918b0dadf.md,UI,core,4,S,,gen-582918b0dadf
Slack,E2E-UI-003,SLK-gen-582918b0dadf.md,UI,core,4,S,,gen-582918b0dadf
Slack,A11Y-UI-004,SLK-gen-582918b0dadf.md,UI,core,4,S,,gen-582918b0dadf
Slack,SLK-gen-7287d6642308,SLK-gen-7287d6642308.md,UI,core,4,S,,gen-7287d6642308
Slack,E2E-UI-001,SLK-gen-7287d6642308.md,UI,core,4,S,,gen-7287d6642308
Slack,E2E-UI-002,SLK-gen-7287d6642308.md,UI,core,4,S,,gen-7287d6642308
Slack,E2E-UI-003,SLK-gen-7287d6642308.md,UI,core,4,S,,gen-7287d6642308
Slack,A11Y-UI-004,SLK-gen-7287d6642308.md,UI,core,4,S,,gen-7287d6642308
Slack,SLK-gen-8bb714b7726e,SLK-gen-8bb714b7726e.md,UI,core,4,S,,gen-8bb714b7726e
Slack,E2E-UI-001,SLK-gen-8bb714b7726e.md,UI,core,4,S,,gen-8bb714b7726e
Slack,E2E-UI-002,SLK-gen-8bb714b7726e.md,UI,core,4,S,,gen-8bb714b7726e
Slack,E2E-UI-003,SLK-gen-8bb714b7726e.md,UI,core,4,S,,gen-8bb714b7726e
Slack,A11Y-UI-004,SLK-gen-8bb714b7726e.md,UI,core,4,S,,gen-8bb714b7726e
Slack,SLK-gen-8beba3bfd16f,SLK-gen-8beba3bfd16f.md,UI,core,4,S,,gen-8beba3bfd16f
Slack,E2E-UI-001,SLK-gen-8beba3bfd16f.md,UI,core,4,S,,gen-8beba3bfd16f
Slack,E2E-UI-002,SLK-gen-8beba3bfd16f.md,UI,core,4,S,,gen-8beba3bfd16f
