thread_id,channel,first_seen_at,last_seen_at,message_count,jira_keys,pr_urls,sev,prod,action,digest
gen-c5a7989a4f81,integrator,2023-03-31 00:00:00,2023-03-31 00:00:00,1,,,,false,false,
gen-c4c5981537a5,integrator,2023-04-01 00:00:00,2023-04-01 00:00:00,1,,,,false,false,
gen-1773a8810d02,io_qa_pm,2023-04-06 00:00:00,2023-04-06 00:00:00,1,,,,false,false,
gen-c3433dd10e89,io_qa_pm,2023-04-06 00:00:00,2023-04-06 00:00:00,1,,,,false,false,
gen-a4125ccf9417,io_qa_pm,2023-04-12 00:00:00,2023-04-12 00:00:00,1,,,,false,false,
gen-b94040b9140f,integrator,2023-04-12 00:00:00,2023-04-12 00:00:00,1,,,,false,false,
gen-8c36760aa9de,integrator,2023-04-14 00:00:00,2023-04-14 00:00:00,1,,,,false,false,
gen-5f5e4e5f8ac2,io_qa_pm,2023-04-17 00:00:00,2023-04-17 00:00:00,1,,,,false,false,
gen-7b97bb88b6d8,integrator,2023-04-17 00:00:00,2023-04-17 00:00:00,1,,,,false,false,
gen-464e2d68c339,io_qa_pm,2023-04-19 00:00:00,2023-04-19 00:00:00,1,,,,false,false,
gen-485379d4bdf9,integrator,2023-04-20 00:00:00,2023-04-20 00:00:00,1,,,,false,false,
gen-4bc14a3d4e1e,io_qa_pm,2023-04-21 00:00:00,2023-04-21 00:00:00,1,,,,false,false,
gen-e7e4dccfc260,io_qa_pm,2023-04-21 00:00:00,2023-04-21 00:00:00,1,,,,false,false,
gen-0e5f75af159a,integrator,2023-04-25 00:00:00,2023-04-25 00:00:00,1,,,,false,false,
gen-cb283fcfa9f8,integrator,2023-04-25 00:00:00,2023-04-25 00:00:00,1,,,,false,false,
gen-112f322a1d48,integrator,2023-04-26 00:00:00,2023-04-26 00:00:00,1,,,,false,false,
gen-37e822516dbc,io_qa_pm,2023-04-26 00:00:00,2023-04-26 00:00:00,1,,,,false,false,
gen-94a54a141674,integrator,2023-04-26 00:00:00,2023-04-26 00:00:00,1,,,,false,false,
gen-e3457ef76b3c,io_qa_pm,2023-04-28 00:00:00,2023-04-28 00:00:00,1,,,,false,false,
